cellid_a,cellid_b,cd_3_4,cd_2_4,cd_2_3,cd_1_4,cd_1_3,cd_1_2
244,2129,0,0,0.593457943925234,0,0,0
244,2174,0,0.229102167182663,0,0,0,0
244,2176,0,0.57843137254902,0,0,0,0
244,2803,0,0.180952380952381,0,0,0,0
244,2804,0,0.32992700729927,0,0,0,0
245,245,0.912685337726524,1,0.912685337726524,1,0.912685337726524,1
246,246,0,0,0.790011350737798,0,0.941015089163237,0.833698030634573
246,1860,0,0,0.101190476190476,0,0,0
246,2179,0.921540656205421,0.796839729119639,0,0.931880108991826,0,0
247,247,1,0.855284552845528,0.855284552845528,1,1,0.855284552845528
248,248,0.902045209903122,0.896614821591949,0.827788649706458,0.896614821591949,0.827788649706458,1
249,249,1,1,1,1,1,1
250,250,0.947885939036382,0.895189003436426,0.864086408640864,0.895189003436426,0.864086408640864,1
251,251,1,1,1,1,1,1
252,252,0.90280777537797,0.90280777537797,1,0.90280777537797,1,1
253,253,0.933110367892977,0.911242603550296,0.881458966565349,0.911242603550296,0.881458966565349,1
254,254,1,0.894273127753304,0.894273127753304,0.894273127753304,0.894273127753304,1
255,2130,0,0,0.680805938494168,0,0,0
255,2131,0,0,0.471744471744472,0,0,0
255,2245,0,0.67087276550999,0,0,0,0
255,2246,0,0.576271186440678,0,0,0,0
256,256,0,0,0.830409356725146,0,0.834312573443008,0.995975855130785
256,2180,0.906158357771261,0.79030303030303,0,0.79415347137637,0,0
257,2132,0,0,0.902077151335312,0,0,0
257,2181,0,0.914110429447853,0,0,0,0
258,258,0.935412026726058,0.918367346938776,0.915811088295688,0.918367346938776,0.915811088295688,1
259,259,0,0,0.808080808080808,0,0.808080808080808,1
259,2184,0.890855457227139,0.762836185819071,0,0.762836185819071,0,0
260,260,0,0,0.918604651162791,0,0.933333333333333,0.864864864864865
260,2183,0.956521739130435,0.908045977011494,0,0.908629441624365,0,0
261,261,1,1,1,1,1,1
262,262,0.795698924731183,0.852348993288591,0.887966804979253,1,0.795698924731183,0.852348993288591
263,263,0.75968992248062,1,0.75968992248062,1,0.75968992248062,1
264,264,1,1,1,1,1,1
265,265,0.817460317460317,0.923611111111111,0.819548872180451,0.923611111111111,0.819548872180451,1
266,266,1,1,1,1,1,1
267,267,1,1,1,1,1,1
268,268,0,0,0.807692307692308,0,0.807692307692308,1
268,2185,0.88412017167382,0.881720430107527,0,0.881720430107527,0,0
268,2186,0,0.166666666666667,0,0.166666666666667,0,0
268,2508,0,0,0.290748898678414,0,0.290748898678414,0
269,269,1,1,1,1,1,1
270,270,0,0,0.90282131661442,0,0.90282131661442,1
270,2247,0.783157894736842,0.696461824953445,0,0.696461824953445,0,0
270,2248,0.396946564885496,0.43956043956044,0,0.43956043956044,0,0
271,271,0.696356275303644,0.696356275303644,1,1,0.696356275303644,0.696356275303644
272,272,0.661538461538462,0.746031746031746,0.896103896103896,1,0.661538461538462,0.746031746031746
272,2190,0.224719101123595,0.211764705882353,0,0,0,0
273,273,1,1,1,1,1,1
274,274,0,1,0,1,0,1
275,275,1,1,1,1,1,1
276,2134,0,0,0.377880184331797,0,0,0
276,2135,0,0,0.449339207048458,0,0,0
276,2187,0,0.355140186915888,0,0,0,0
276,2188,0,0.377880184331797,0,0,0,0
277,277,0.765217391304348,0.765217391304348,1,0.765217391304348,1,1
278,278,1,1,1,1,1,1
279,279,0.867052023121387,0.867052023121387,1,1,0.867052023121387,0.867052023121387
280,280,0,0,0,0,0.804878048780488,0
280,2079,0,0,0,0,0,0.743589743589744
280,2189,0.678571428571429,0,0,0.545454545454545,0,0
281,281,1,0.834645669291339,0.834645669291339,0.834645669291339,0.834645669291339,1
282,282,0.834008097165992,0.834008097165992,1,0.834008097165992,1,1
283,283,1,1,1,1,1,1
284,284,1,1,1,0.725552050473186,0.725552050473186,0.725552050473186
285,285,0.867924528301887,0.867924528301887,1,0.867924528301887,1,1
286,286,1,1,1,1,1,1
287,287,0.925925925925926,1,0.925925925925926,1,0.925925925925926,1
288,288,1,0.730769230769231,0.730769230769231,1,1,0.730769230769231
288,745,0,0,0.163265306122449,0,0,0
289,289,1,0.688405797101449,0.688405797101449,0.688405797101449,0.688405797101449,1
290,290,0,0,0,0,0,1
290,2249,0,0.371794871794872,0,0.371794871794872,0,0
290,2250,0,0.694300518134715,0,0.694300518134715,0,0
290,2578,0,0,0.420382165605096,0,0.420382165605096,0
290,2579,0,0,0.556213017751479,0,0.556213017751479,0
291,291,0,0,1,0,1,1
291,2815,0.805755395683453,0.805755395683453,0,0.805755395683453,0,0
292,292,0.868421052631579,1,0.868421052631579,1,0.868421052631579,1
293,293,1,1,1,1,1,1
294,294,0.833333333333333,0.833333333333333,1,0.833333333333333,1,1
295,295,0.669527896995708,1,0.669527896995708,1,0.669527896995708,1
296,296,1,0.842490842490842,0.842490842490842,1,1,0.842490842490842
